x,z,y,u,w,v,uu,ww,vv,vw,uv,uw,Iu,Iv,Iw,Iuv
-18.0,0.0,8.5,16.532635,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12945543602592385,0.06472771094758094,0.10356434882073907,0.05649898425831516
-18.0,0.0,8.6,16.559262,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12924727397769595,0.064623629934828,0.10339781918215675,0.05640813489233217
-18.0,0.0,8.7,16.585582,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12904216882967687,0.06452107737201261,0.10323373506374148,0.05631861966697764
-18.0,0.0,8.8,16.611602,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12884004038758268,0.06442001316199723,0.10307203231006613,0.056230403582596684
-18.0,0.0,8.9,16.637327,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12864082509062,0.0643204055243886,0.10291266007249598,0.05614345889898482
-18.0,0.0,9.0,16.662766,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.1284444294892246,0.06422220773440973,0.10275554359137967,0.05605774483140855
-18.0,0.0,9.1,16.687923,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12825079984983448,0.06412539292528252,0.10260063987986756,0.05597323792861881
-18.0,0.0,9.2,16.712806,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12805985258145455,0.06402991930151404,0.10244788206516364,0.05588990170851443
-18.0,0.0,9.3,16.73742,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12787152814367145,0.0639357570929008,0.10229722251493714,0.05580771018552861
-18.0,0.0,9.4,16.761771,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12768576020889735,0.06384287313565253,0.10214860816711786,0.05572663441192881
-18.0,0.0,9.5,16.785864,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12750249094014163,0.06375123851127709,0.10200199275211329,0.05564664914558287
-18.0,0.0,9.6,16.809705,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12732165570915427,0.06366082090565299,0.10185732456732341,0.05556772618041008
-18.0,0.0,9.7,16.833299,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12714319828706477,0.06357159220434803,0.10171455862965181,0.055489840976119434
-18.0,0.0,9.8,16.856651,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12696706318369227,0.06348352466227483,0.1015736505469538,0.05541296931481053
-18.0,0.0,9.9,16.879767,0.0,0.0,4.580625,2.9316,1.145156,0.0,0.8725,0.0,0.12679318811583415,0.06339658713783547,0.1014345504926673,0.05533708401386525
